iter	Passed	Remaining
0	1	111
1	1	72
2	1	62
3	2	54
4	2	49
5	2	46
6	3	43
7	3	41
8	3	40
9	4	38
10	4	37
11	4	36
12	5	35
13	5	34
14	5	33
15	6	33
16	6	32
17	6	31
18	7	31
19	7	30
20	8	30
21	8	30
22	8	29
23	9	28
24	9	28
25	9	27
26	10	27
27	10	26
28	10	26
29	11	26
30	11	25
31	11	25
32	12	24
33	12	24
34	13	24
35	13	23
36	13	23
37	14	22
38	14	22
39	14	22
40	15	21
41	15	21
42	15	20
43	15	20
44	16	19
45	16	19
46	16	19
47	17	18
48	17	18
49	18	18
50	18	17
51	18	17
52	18	16
53	19	16
54	19	16
55	19	15
56	20	15
57	20	14
58	20	14
59	21	14
60	21	13
61	21	13
62	22	13
63	22	12
64	22	12
65	23	11
66	23	11
67	23	11
68	24	10
69	24	10
70	24	10
71	25	9
72	25	9
73	26	9
74	26	8
75	26	8
76	27	8
77	27	7
78	27	7
79	28	7
80	28	6
81	28	6
82	29	5
83	29	5
84	29	5
85	30	4
86	30	4
87	30	4
88	31	3
89	31	3
90	31	3
91	32	2
92	32	2
93	32	2
94	33	1
95	33	1
96	33	1
97	34	0
98	34	0
99	34	0
